ALG,N,ENCODING,TIME_TAKEN,VARIABLES,CONSTRAINTS,SOLVER_CALLS,SOLUTIONS_FOUND
CSP,4,pairwise_diagonal,0.00018290,4,7,1,1
CSP,4,alldiff_diagonals,0.00214220,12,11,1,1
CSP,5,pairwise_diagonal,0.00018370,5,11,1,1
CSP,5,alldiff_diagonals,0.00224900,15,13,1,1
CSP,6,pairwise_diagonal,0.00069640,6,16,1,1
CSP,6,alldiff_diagonals,0.02560190,18,15,1,1
CSP,7,pairwise_diagonal,0.00025330,7,22,1,1
CSP,7,alldiff_diagonals,0.03797090,21,17,1,1
CSP,8,pairwise_diagonal,0.00170490,8,29,1,1
CSP,8,alldiff_diagonals,0.50260940,24,19,1,1
CSP,9,pairwise_diagonal,0.00114770,9,37,1,1
CSP,9,alldiff_diagonals,1.56033920,27,21,1,1
CSP,10,pairwise_diagonal,0.00116100,10,46,1,1
CSP,10,alldiff_diagonals,10.91648170,30,23,1,1
CSP,11,pairwise_diagonal,0.00164720,11,56,1,1
CSP,11,alldiff_diagonals,94.79342420,33,25,1,1
CSP,12,pairwise_diagonal,0.00688450,12,67,1,1
CSP,12,alldiff_diagonals,1389.69588190,36,27,1,1
CSP,13,pairwise_diagonal,0.00990690,13,79,1,1
CSP,14,pairwise_diagonal,0.00960710,14,92,1,1
CSP,15,pairwise_diagonal,0.00252650,15,106,1,1
CSP,16,pairwise_diagonal,0.00323590,16,121,1,1
CSP,17,pairwise_diagonal,0.00283600,17,137,1,1
CSP,18,pairwise_diagonal,0.00565770,18,154,1,1
CSP,19,pairwise_diagonal,0.00444100,19,172,1,1
CSP,20,pairwise_diagonal,0.01100870,20,191,1,1
CSP,21,pairwise_diagonal,0.00512930,21,211,1,1
CSP,22,pairwise_diagonal,0.00579040,22,232,1,1
CSP,23,pairwise_diagonal,0.00754600,23,254,1,1
CSP,24,pairwise_diagonal,0.00842140,24,277,1,1
CSP,25,pairwise_diagonal,0.01658860,25,301,1,1
CSP,26,pairwise_diagonal,0.02988350,26,326,1,1
CSP,27,pairwise_diagonal,0.00899520,27,352,1,1
CSP,28,pairwise_diagonal,0.00883190,28,379,1,1
CSP,29,pairwise_diagonal,0.00937270,29,407,1,1
CSP,30,pairwise_diagonal,0.02001420,30,436,1,1
CSP,31,pairwise_diagonal,0.01503540,31,466,1,1
CSP,32,pairwise_diagonal,0.01653910,32,497,1,1
CSP,33,pairwise_diagonal,0.01119360,33,529,1,1
CSP,34,pairwise_diagonal,0.01211390,34,562,1,1
CSP,35,pairwise_diagonal,0.03291170,35,596,1,1
CSP,36,pairwise_diagonal,0.02236690,36,631,1,1
CSP,37,pairwise_diagonal,0.02079740,37,667,1,1
CSP,38,pairwise_diagonal,0.02449750,38,704,1,1
CSP,39,pairwise_diagonal,0.03428370,39,742,1,1
CSP,40,pairwise_diagonal,0.03222460,40,781,1,1
CSP,41,pairwise_diagonal,0.14047860,41,821,1,1
CSP,42,pairwise_diagonal,0.57664430,42,862,1,1
CSP,43,pairwise_diagonal,0.12307740,43,904,1,1
CSP,44,pairwise_diagonal,0.03746790,44,947,1,1
CSP,45,pairwise_diagonal,0.05535840,45,991,1,1
CSP,46,pairwise_diagonal,0.04433480,46,1036,1,1
CSP,47,pairwise_diagonal,0.07756780,47,1082,1,1
CSP,48,pairwise_diagonal,0.03952730,48,1129,1,1
CSP,49,pairwise_diagonal,0.12293770,49,1177,1,1
CSP,50,pairwise_diagonal,0.19065060,50,1226,1,1
